"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time"
"g1",16,0,"0 15",39,0.027679936000000002
"g1",16,1,"16 31",0,0.024615216
"g1",16,2,"32 47",25,0.021291963
"g1",16,3,"48 63",7,0.020326362
"g1",16,4,"64 79",23,0.022042934
"g1",16,5,"80 95",0,0.019897045999999998
"g1",16,6,"96 111",0,0.020861783
"g1",16,7,"112 127",9,0.020523115
"g1",16,8,"128 143",3,0.020388555
"g1",16,9,"144 159",7,0.020199111
"g1",16,10,"160 175",20,0.020789681
"g1",16,11,"176 191",0,0.020282015
"g1",16,12,"192 207",32,0.022963275
"g1",16,13,"208 223",0,0.020042743000000002
"g1",16,14,"224 239",9,0.020555662000000002
"g1",16,15,"240 255",8,0.021111877
"g1",16,16,"256 271",2,0.020346768999999997
"g1",16,17,"272 287",0,0.019950168
"g1",16,18,"288 303",0,0.020570549
"g1",16,19,"304 319",5,0.021178592
"g1",16,20,"320 335",0,0.020126621
"g1",16,21,"336 351",5,0.020685914
"g1",16,22,"352 367",0,0.020065252999999998
"g1",16,23,"368 383",23,0.021294444
"g1",16,24,"384 399",0,0.020130961
"g1",16,25,"400 415",0,0.020032736
"g1",16,26,"416 431",0,0.020381292
"g1",16,27,"432 447",23,0.021345222
"g1",16,28,"448 463",4,0.020275959
"g1",16,29,"464 479",0,0.020002766999999998
"g1",16,30,"480 495",3,0.020897333
"g1",16,31,"496 511",1,0.020775578
"g1",16,32,"512 527",7,0.020290689
"g1",16,33,"528 543",0,0.020081164999999998
"g1",16,34,"544 559",4,0.020483669
"g1",16,35,"560 575",22,0.021929289
"g1",16,36,"576 591",0,0.02012116
"g1",16,37,"592 607",11,0.020622638
"g1",16,38,"608 623",15,0.020559926
"g1",16,39,"624 639",7,0.020171255
"g1",16,40,"640 655",0,0.020101094
"g1",16,41,"656 671",0,0.020167641
"g1",16,42,"672 687",2,0.020586636999999998
"g1",16,43,"688 703",3,0.020697715
"g1",16,44,"704 719",5,0.02026385
"g1",16,45,"720 735",27,0.021002175999999997
"g1",16,46,"736 751",9,0.022408435999999997
"g1",16,47,"752 767",3,0.020724195
"g1",16,48,"768 783",1,0.021211182999999998
"g1",16,49,"784 799",0,0.020608691000000002
"g1",16,50,"800 815",17,0.021351121
"g1",16,51,"816 831",1,0.02046703
"g1",16,52,"832 847",1,0.020772967
"g1",16,53,"848 863",0,0.020160392000000003
"g1",16,54,"864 879",3,0.020728497999999998
"g1",16,55,"880 895",0,0.020391197
"g1",16,56,"896 911",6,0.020308549
"g1",16,57,"912 927",0,0.019853168
"g1",16,58,"928 943",0,0.020326148
"g1",16,59,"944 959",2,0.020755962
