name,param:algo,param:chunk_size,param:grammar,param:graph,min,max,mean,stddev,median,iqr,outliers,ops,rounds,iterations
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-generations-g2-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/g2.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/generations.txt,0.0010927600087597966,0.0010927600087597966,0.0010927600087597966,0,0.0010927600087597966,0.0,0;0,915.114015871543,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-generations-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/generations.txt,0.0011000689992215484,0.0011000689992215484,0.0011000689992215484,0,0.0011000689992215484,0.0,0;0,909.0338885175738,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-travel-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/travel.txt,0.001123028006986715,0.001123028006986715,0.001123028006986715,0,0.001123028006986715,0.0,0;0,890.4497428191296,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-skos-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/skos.txt,0.0011321810015942901,0.0011321810015942901,0.0011321810015942901,0,0.0011321810015942901,0.0,0;0,883.2509983755615,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-generations-g2-100],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],100,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/g2.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/generations.txt,0.0013154390035197139,0.0013154390035197139,0.0013154390035197139,0,0.0013154390035197139,0.0,0;0,760.2024855005095,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-generations-geo-100],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],100,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/generations.txt,0.0013181559916120023,0.0013181559916120023,0.0013181559916120023,0,0.0013181559916120023,0.0,0;0,758.6355532755101,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-univ-bench-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/univ-bench.txt,0.0013330380024854094,0.0013330380024854094,0.0013330380024854094,0,0.0013330380024854094,0.0,0;0,750.1661604061775,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-travel-geo-100],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],100,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/travel.txt,0.0013556329940911382,0.0013556329940911382,0.0013556329940911382,0,0.0013556329940911382,0.0,0;0,737.6627777272664,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-skos-g2-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/g2.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/skos.txt,0.0014447790017584339,0.0014447790017584339,0.0014447790017584339,0,0.0014447790017584339,0.0,0;0,692.1473794835782,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-univ-bench-geo-100],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],100,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/univ-bench.txt,0.001466125002480112,0.001466125002480112,0.001466125002480112,0,0.001466125002480112,0.0,0;0,682.0700815472009,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-foaf-geo-None],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/foaf.txt,0.0015049000066937879,0.0015049000066937879,0.0015049000066937879,0,0.0015049000066937879,0.0,0;0,664.4959768436473,1,1
test/single_source/bench_cfpq_data.py::test_single_source_benchmark_total_big[SingleSourceAlgoBrute-skos-geo-100],UNSERIALIZABLE[<class 'src.algo.single_source.single_source.SingleSourceAlgoBrute'>],100,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Grammars/geo.cnf,/home/viabzalov/GitReps/CFPQ_PyAlgo/deps/CFPQ_Data/data/RDF/Matrices/skos.txt,0.0015929539949866012,0.0015929539949866012,0.0015929539949866012,0,0.0015929539949866012,0.0,0;0,627.7645199718472,1,1
