,graph,grammar,chunk_size,SingleSourceAlgoBruteTime,SingleSourceAlgoOptTime,SingleSourceAlgoBruteStdDev,SingleSourceAlgoOptStdDev
0,atom-primitive,g1,100,0.006396368000423536,0.010563039992121048,0,0
1,atom-primitive,g1,100000,0.00359824400220532,0.007248446010635234,0,0
2,atom-primitive,g2,100,0.003657201988971792,0.006152058005682193,0,0
3,atom-primitive,g2,100000,0.002317714010132477,0.004443990997970104,0,0
4,atom-primitive,geo,100,0.002112917005433701,0.0035061849921476096,0,0
5,atom-primitive,geo,100000,0.0015979480085661635,0.0031184660037979484,0,0
6,biomedical-mesure-primitive,g1,100,0.016297768001095392,0.021721654004068117,0,0
7,biomedical-mesure-primitive,g1,100000,0.004240944006596692,0.008034565995330922,0,0
8,biomedical-mesure-primitive,g2,100,0.0095141009951476,0.015916538002784364,0,0
9,biomedical-mesure-primitive,g2,100000,0.0037358099943958227,0.007000148994848132,0,0
10,biomedical-mesure-primitive,geo,100,0.031509142005234025,0.004073504998814315,0,0
11,biomedical-mesure-primitive,geo,100000,0.004873033001786098,0.003621317009674385,0,0
12,core,g1,100,0.04967593398760073,0.08166237999103032,0,0
13,core,g1,500,0.028780895008821968,0.06388833600794896,0,0
14,core,g1,1000,0.019426756000029854,0.0427471319999313,0,0
15,core,g1,100000,0.014726599998539312,0.035292941000079736,0,0
16,core,g2,100,0.02385368700197432,0.037840550998225815,0,0
17,core,g2,500,0.013440695009194314,0.030116095003904775,0,0
18,core,g2,1000,0.008535107990610413,0.019637396006146446,0,0
19,core,g2,100000,0.008502124997903593,0.020779918995685875,0,0
20,core,geo,100,0.007868653992773034,0.013920665995101444,0,0
21,core,geo,500,0.005200838000746444,0.012342486006673424,0,0
22,core,geo,1000,0.004852116006077267,0.01221426400297787,0,0
23,core,geo,100000,0.0046200460055843,0.01202165600261651,0,0
24,eclass_514en,g1,100,63.35042575400439,66.40789160400163,0,0
25,eclass_514en,g1,500,20.723975610002526,33.51689517201157,0,0
26,eclass_514en,g1,1000,14.493275015003743,27.81529788899934,0,0
27,eclass_514en,g1,5000,8.528045389000907,20.44563361800101,0,0
28,eclass_514en,g1,10000,7.098434756990173,18.186388251007887,0,0
29,eclass_514en,g1,50000,4.787476905999938,12.416943623000407,0,0
30,eclass_514en,g1,100000,3.7220645720080934,10.011111065992736,0,0
31,eclass_514en,g2,100,40.12721091900312,44.0635993390024,0,0
32,eclass_514en,g2,500,13.632952988991747,22.043708060009518,0,0
33,eclass_514en,g2,1000,9.964007676011533,18.163264129005253,0,0
34,eclass_514en,g2,5000,6.271270330005791,13.844448653995643,0,0
35,eclass_514en,g2,10000,5.253543541010004,12.324337666010251,0,0
36,eclass_514en,g2,50000,3.496845501998905,8.83135672599019,0,0
37,eclass_514en,g2,100000,2.8283345450035995,7.405055130002438,0,0
38,eclass_514en,geo,100,1.2333696440036874,2.3885016170097515,0,0
39,eclass_514en,geo,500,0.8303904630010948,2.1188180800090777,0,0
40,eclass_514en,geo,1000,0.7686167799984105,2.077489838004112,0,0
41,eclass_514en,geo,5000,0.7256573250051588,2.0412862749944907,0,0
42,eclass_514en,geo,10000,0.7186866679985542,2.0358261840010528,0,0
43,eclass_514en,geo,50000,0.7197261779947439,2.039645497003221,0,0
44,eclass_514en,geo,100000,0.7193553280085325,2.0420315790106542,0,0
45,enzyme,g1,100,3.7043761430104496,2.942105705995345,0,0
46,enzyme,g1,500,1.431853674002923,2.2582013920036843,0,0
47,enzyme,g1,1000,1.0804353380081009,2.075074845997733,0,0
48,enzyme,g1,5000,0.7411776380031371,1.829727081989404,0,0
49,enzyme,g1,10000,0.6401736159896245,1.6472992979979608,0,0
50,enzyme,g1,100000,0.30053583200788125,0.8174369019980077,0,0
51,enzyme,g2,100,1.914122435002355,2.3726657669903943,0,0
52,enzyme,g2,500,0.8487906109949108,1.6346003910002764,0,0
53,enzyme,g2,1000,0.6903327420004643,1.4969020269927569,0,0
54,enzyme,g2,5000,0.5233093799906783,1.3067729689937548,0,0
55,enzyme,g2,10000,0.4238523520034505,1.0846237559890142,0,0
56,enzyme,g2,100000,0.2637624429917196,0.7156585070042638,0,0
57,enzyme,geo,100,0.25204034699709155,0.482473354000831,0,0
58,enzyme,geo,500,0.16671877399494406,0.4288704349892214,0,0
59,enzyme,geo,1000,0.15568607399472967,0.4230516329989769,0,0
60,enzyme,geo,5000,0.14691306700115092,0.4212382409896236,0,0
61,enzyme,geo,10000,0.1504152929992415,0.42056818900164217,0,0
62,enzyme,geo,100000,0.14496451600280125,0.41401408100500703,0,0
63,foaf,g1,100,0.006990760011831298,0.010711492999689655,0,0
64,foaf,g1,100000,0.0038646600005449727,0.0073351829923922205,0,0
65,foaf,g2,100,0.003319317998830229,0.005015754999476485,0,0
66,foaf,g2,100000,0.002358127007028088,0.004428590007591993,0,0
67,foaf,geo,100,0.002442465993226506,0.003178643004503101,0,0
68,foaf,geo,100000,0.001504900006693788,0.0028841690073022623,0,0
69,funding,g1,100,0.02745564599172212,0.048736383992945775,0,0
70,funding,g1,500,0.01182822699774988,0.02581435600586701,0,0
71,funding,g1,100000,0.006164613005239517,0.014309008009149691,0,0
72,funding,g2,100,0.014968646995839663,0.02415371499955654,0,0
73,funding,g2,500,0.00620226000319235,0.013312805007444695,0,0
74,funding,g2,100000,0.00544350100972224,0.013155874999938531,0,0
75,funding,geo,100,0.004691408001235686,0.008347303999471478,0,0
76,funding,geo,500,0.003279702999861911,0.007601424993481488,0,0
77,funding,geo,100000,0.0031290150072891265,0.007344636003836058,0,0
78,generations,g1,100,0.004568529999232851,0.006684665000648239,0,0
79,generations,g1,100000,0.002274031998240389,0.003987521005910821,0,0
80,generations,g2,100,0.001315439003519714,0.0020122389978496358,0,0
81,generations,g2,100000,0.0010927600087597966,0.0018563990015536547,0,0
82,generations,geo,100,0.0013181559916120025,0.0019808939978247513,0,0
83,generations,geo,100000,0.0011000689992215484,0.0018095279956469312,0,0
84,geospecies,g1,100,68.10414152100566,38.88476304899086,0,0
85,geospecies,g1,500,17.19028812801116,16.55606343600084,0,0
