"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,0,"0 15",8,0.33868842,4
"g1",16,1,"16 31",54,1.024962764,4
"g1",16,2,"32 47",3,0.293629927,9
"g1",16,3,"48 63",3,0.330969493,13
"g1",16,4,"64 79",5,0.463691829,19
"g1",16,5,"80 95",12,0.226973486,5
"g1",16,6,"96 111",0,0.189611857,-28
"g1",16,7,"112 127",0,0.19385155499999998,-4
"g1",16,8,"128 143",3,0.252823166,-20
"g1",16,9,"144 159",4,0.35953675900000004,28
"g1",16,10,"160 175",8,0.34749636700000003,-6
"g1",16,11,"176 191",5,0.355837856,11
"g1",16,12,"192 207",11,0.355193266,32
"g1",16,13,"208 223",98,0.995667912,14
"g1",16,14,"224 239",15,0.70764371,35
"g1",16,15,"240 255",11,0.5684884889999999,9
"g1",16,16,"256 271",9,0.24877190899999999,15
"g1",16,17,"272 287",3,0.24170404199999998,-1
"g1",16,18,"288 303",17,0.486145376,16
"g1",16,19,"304 319",10,0.506708909,34
"g1",16,20,"320 335",359,1.170312389,-10
"g1",16,21,"336 351",2,0.279105763,7
"g1",16,22,"352 367",96,0.7317694619999999,-27
"g1",16,23,"368 383",11,0.404453415,-10
"g1",16,24,"384 399",0,0.187938206,18
"g1",16,25,"400 415",3,0.34020521000000004,-5
"g1",16,26,"416 431",5,0.27651698199999997,20
"g1",16,27,"432 447",33,0.6901433520000001,-23
"g1",16,28,"448 463",0,0.17291287600000002,2
"g1",16,29,"464 479",16,0.33639370300000004,23
"g1",16,30,"480 495",2,0.28466521499999997,48
"g1",16,31,"496 511",5,0.348848203,25
"g1",16,32,"512 527",2,0.320489208,15
"g1",16,33,"528 543",3,0.255407537,-6
"g1",16,34,"544 559",3,0.240045174,19
"g1",16,35,"560 575",0,0.16744540900000002,7
"g1",16,36,"576 591",20,0.394986706,1
"g1",16,37,"592 607",0,0.17568769499999998,13
"g1",16,38,"608 623",0,0.16521602400000002,-2
"g1",16,39,"624 639",10,0.500181342,-1
"g1",16,40,"640 655",12,0.319187275,-17
"g1",16,41,"656 671",0,0.147586366,-19
"g1",16,42,"672 687",4,0.438849701,-27
"g1",16,43,"688 703",9,0.38023351,25
"g1",16,44,"704 719",3,0.262092186,39
"g1",16,45,"720 735",0,0.154788418,-7
"g1",16,46,"736 751",6,0.246301265,3
"g1",16,47,"752 767",8,0.357246065,23
"g1",16,48,"768 783",5,0.28741866099999996,29
"g1",16,49,"784 799",1,0.26710425400000004,-3
"g1",16,50,"800 815",0,0.166154089,21
"g1",16,51,"816 831",4,0.269662743,-13
"g1",16,52,"832 847",27,0.635789139,-21
"g1",16,53,"848 863",60,0.37480206,10
"g1",16,54,"864 879",3,0.215538252,34
"g1",16,55,"880 895",1,0.288345591,-12
"g1",16,56,"896 911",14,0.24206650600000001,19
"g1",16,57,"912 927",49,0.64398366,-1
"g1",16,58,"928 943",7,0.250414649,-6
"g1",16,59,"944 959",6,0.269049697,-12
"g1",16,60,"960 975",59,0.530904618,41
"g1",16,61,"976 991",42,0.5001783,-3
"g1",16,62,"992 1007",0,0.191580053,-17
"g1",16,63,"1008 1023",467,1.557332544,40
"g1",16,64,"1024 1039",11,0.372272107,-9
"g1",16,65,"1040 1055",1,0.231367655,-32
"g1",16,66,"1056 1071",5,0.279514082,-25
"g1",16,67,"1072 1087",2,0.353536108,-19
"g1",16,68,"1088 1103",3,0.302829962,32
"g1",16,69,"1104 1119",0,0.136913084,-6
"g1",16,70,"1120 1135",0,0.203442567,13
"g1",16,71,"1136 1151",9,0.381519041,37
"g1",16,72,"1152 1167",3,0.321900838,-65
"g1",16,73,"1168 1183",8,0.352359242,0
"g1",16,74,"1184 1199",24,0.370661521,-11
"g1",16,75,"1200 1215",1,0.29127980200000003,3
"g1",16,76,"1216 1231",0,0.173485905,-3
"g1",16,77,"1232 1247",42,0.6272225100000001,27
"g1",16,78,"1248 1263",5,0.254404624,0
"g1",16,79,"1264 1279",14,0.41131785200000004,22
"g1",16,80,"1280 1295",0,0.173092651,-2
