"grammar","chunk_size","chunk_id","chunk_range","control_sum","chunk_time","chunk_mem_mb"
"g1",16,0,"0 15",4,0.030584195999999998,24
"g1",16,1,"16 31",1,0.027808972,26
"g1",16,2,"32 47",2,0.027212919,24
"g1",16,3,"48 63",0,0.026934407,21
"g1",16,4,"64 79",5,0.028784781,8
"g1",16,5,"80 95",2,0.028548576,15
"g1",16,6,"96 111",2,0.026580815,9
"g1",16,7,"112 127",1,0.026812204000000003,15
"g1",16,8,"128 143",0,0.024411662,9
"g1",16,9,"144 159",0,0.025269510000000002,6
"g1",16,10,"160 175",3,0.027517005,7
"g1",16,11,"176 191",2,0.027661097000000003,8
"g1",16,12,"192 207",1,0.027000657,8
"g1",16,13,"208 223",1,0.027912014,8
"g1",16,14,"224 239",2,0.028205117999999998,6
"g1",16,15,"240 255",3,0.028729559999999998,9
"g1",16,16,"256 271",2,0.025966245000000002,8
"g1",16,17,"272 287",1,0.02896431,7
"g1",16,18,"288 303",2,0.027263122,9
"g1",16,19,"304 319",3,0.027369800000000003,5
"g1",16,20,"320 335",2,0.029478355,7
"g1",16,21,"336 351",4,0.028879632000000002,7
"g1",16,22,"352 367",3,0.027275825,7
"g1",16,23,"368 383",3,0.028083320000000002,7
"g1",16,24,"384 399",2,0.029570891,8
"g1",16,25,"400 415",3,0.028645682999999998,7
"g1",16,26,"416 431",3,0.028988944,9
"g1",16,27,"432 447",4,0.027390108,6
"g1",16,28,"448 463",1,0.028595977999999998,7
"g1",16,29,"464 479",1,0.026495862,8
"g1",16,30,"480 495",4,0.02961182,7
"g1",16,31,"496 511",1,0.027997885,8
"g1",16,32,"512 527",4,0.027086421000000003,7
"g1",16,33,"528 543",5,0.028110676,8
"g1",16,34,"544 559",2,0.028501699,5
"g1",16,35,"560 575",1,0.026798528000000002,8
"g1",16,36,"576 591",3,0.028686081000000002,7
"g1",16,37,"592 607",2,0.027498738,7
"g1",16,38,"608 623",2,0.026376776,8
"g1",16,39,"624 639",0,0.025790247999999998,7
"g1",16,40,"640 655",0,0.024654783,6
"g1",16,41,"656 671",4,0.02829531,8
"g1",16,42,"672 687",1,0.027212417,5
"g1",16,43,"688 703",0,0.025406811,9
"g1",16,44,"704 719",2,0.027214645000000003,4
"g1",16,45,"720 735",2,0.028636953,7
"g1",16,46,"736 751",0,0.026129636999999997,9
"g1",16,47,"752 767",2,0.02867284,8
"g1",16,48,"768 783",3,0.027241128,7
"g1",16,49,"784 799",2,0.02831214,7
"g1",16,50,"800 815",0,0.026963704,6
"g1",16,51,"816 831",2,0.027897382000000002,8
"g1",16,52,"832 847",1,0.028112001,5
