NCBI ID        , Name                                                   ,  Expected, Covered, FP-intervals,  Length(avg.), Length SD
NC_014640.1    , Achromobacter xylosoxidans A8                          ,         3,       2,         4261,         430.9,     234.8
NZ_CP009448.1  , Achromobacter xylosoxidans C54                         ,         3,       2,         4157,         446.6,     241.6
NZ_CP014060.1  , Achromobacter xylosoxidans strain FDAARGOS_147         ,         3,       1,         4770,         469.3,     284.2
NZ_CP012046.1  , Achromobacter xylosoxidans strain MN001                ,         3,       2,         4114,         457.5,     270.7
NZ_LN831029.1  , Achromobacter xylosoxidans genome assembly NCTC10807   ,         3,       2,         4441,         442.2,     239.0
NZ_CP007618.1  , Bacillus anthracis strain 2000031021                   ,        11,       1,         2384,         665.6,     485.8
NZ_CP012475.1  , Bacillus clausii strain ENTPro                         ,         7,       0,         1862,         453.2,     241.3
NC_006582.1    , Bacillus clausii KSM-K16 DNA                           ,         7,       7,         1744,         451.9,     230.0
NZ_CP010052.1  , Bacillus subtilis subsp. subtilis str. 168             ,        10,       9,         1610,         450.4,     236.3
NZ_CP016852.1  , Bacillus subtilis subsp. subtilis strain 168G          ,        10,       9,         1616,         450.4,     240.1
NZ_CP017763.1  , Bacillus subtilis strain 29R7-12                       ,        10,       1,         1721,         434.1,     208.7
NZ_CP010314.1  , Bacillus subtilis subsp. subtilis strain 3NA           ,        10,       9,         1596,         448.9,     238.2
NC_020507.1    , Bacillus subtilis subsp. subtilis 6051-HGW             ,        10,       9,         1607,         451.2,     239.3
NZ_CP008698.1  , Bacillus subtilis subsp. subtilis str. AG1839          ,        10,       9,         1613,         450.4,     237.1
NZ_CP009748.1  , Bacillus subtilis strain ATCC 13952                    ,         7,       6,         1427,         427.7,     224.4
NZ_CP009749.1  , Bacillus subtilis strain ATCC 19217                    ,         7,       6,         1533,         431.1,     233.3
NC_011835.1    , Bifidobacterium animalis subsp. lactis AD011           ,         2,       1,         1134,         438.1,     243.9
NC_017834.1    , Bifidobacterium animalis subsp. animalis ATCC 25527    ,         4,       0,         1044,         436.0,     237.1
NC_022523.1    , Bifidobacterium animalis subsp. lactis ATCC 27673      ,         4,       0,         1076,         427.4,     226.4
NC_017866.1    , Bifidobacterium animalis subsp. lactis B420            ,         4,       0,         1050,         429.8,     236.9
NC_017214.1    , Bifidobacterium animalis subsp. lactis BB-12           ,         4,       0,         1033,         434.4,     236.3
NZ_CP009045.1  , Bifidobacterium animalis subsp. lactis strain BF052    ,         4,       0,         1051,         430.0,     236.9
NC_017867.1    , Bifidobacterium animalis subsp. lactis Bi-07           ,         4,       0,         1049,         429.9,     237.3
NC_021593.1    , Bifidobacterium animalis subsp. lactis Bl12            ,         4,       0,         1047,         430.3,     237.6
NZ_CP017037.1  , Dialister pneumosintes strain F0677                    ,         5,       2,          570,         721.2,     542.6
NZ_CP008740.1  , Haemophilus influenzae 2019                            ,         6,       2,          654,         420.2,     196.3
NZ_CP007470.1  , Haemophilus influenzae strain 477                      ,         6,       2,          564,         421.9,     189.3
NZ_CP007472.1  , Haemophilus influenzae strain 723                      ,         6,       4,          751,         425.2,     200.5
NC_007146.2    , Haemophilus influenzae 86-028NP                        ,         6,       2,          711,         428.0,     198.2
NZ_AP012334.1  , Scardovia inopinata JCM 12537 DNA                      ,         2,       0,          736,         413.7,     186.0
NC_022238.1    , Streptococcus constellatus subsp. pharyngis C1050      ,         4,       2,          784,         541.9,     349.8
NC_022236.1    , Streptococcus constellatus subsp. pharyngis C232       ,         4,       2,          767,         531.3,     342.6
NC_022245.1    , Streptococcus constellatus subsp. pharyngis C818       ,         4,       2,          765,         532.5,     341.9
NC_022246.1    , Streptococcus intermedius B196                         ,         4,       2,          755,         527.5,     314.9
NC_022237.1    , Streptococcus intermedius C270                         ,         4,       2,          733,         524.3,     308.4
NZ_CP020433.1  , Streptococcus intermedius strain FDAARGOS_233          ,         4,       2,          865,         561.0,     350.5
NC_018073.1    , Streptococcus intermedius JTH08 DNA                    ,         4,       2,          917,         503.5,     305.2
NZ_AP013044.1  , Tannerella forsythia 3313 DNA                          ,         2,       0,         1310,         445.9,     252.6
NC_016610.1    , Tannerella forsythia 92A2                              ,         2,       0,         1398,         442.5,     246.2
NZ_AP013045.1  , Tannerella forsythia KS16 DNA                          ,         2,       0,         1537,         448.5,     258.1
