NCBI ID        , Name                                                   ,  Expected, Covered, FP-intervals,  Length(avg.), Length SD
NZ_CP012959.1  , Aggregatibacter actinomycetemcomitans strain 624       ,      6,      6,     35,  954.4,  175.2
NC_014640.1    , Achromobacter xylosoxidans A8                          ,      3,      0,     41,  976.6,  232.5
NC_005966.1    , Acinetobacter sp. ADP1 complete genome                 ,      7,      7,     14,  974.8,  207.5
NZ_CP009448.1  , Achromobacter xylosoxidans C54                         ,      3,      0,     43,  932.7,  146.0
NC_013171.1    , Anaerococcus prevotii DSM 20548                        ,      4,      3,     29, 1174.6,  609.3
NZ_CP012590.1  , Actinomyces sp. oral taxon 414 strain F0588            ,      3,      3,     28, 1033.9,  356.2
NZ_CP014060.1  , Achromobacter xylosoxidans strain FDAARGOS_147         ,      3,      0,     79, 1024.9,  343.2
NZ_CP007502.1  , Aggregatibacter actinomycetemcomitans HK1651           ,      6,      6,     17,  884.0,   64.0
NZ_LT635457.1  , Actinomyces sp. Marseille-P2985                        ,      3,      3,      5, 1120.8,  217.2
NZ_CP012046.1  , Achromobacter xylosoxidans strain MN001                ,      3,      0,     56,  953.9,  206.3
