NCBI ID        , Name                                                   ,  Expected, Covered, FP-intervals,  Length(avg.), Length SD
NZ_CP012959.1  , Aggregatibacter actinomycetemcomitans strain 624       ,      6,      6,164,  614.6,  246.4
NC_014640.1    , Achromobacter xylosoxidans A8                          ,      3,      3,556,  586.9,  244.9
NC_005966.1    , Acinetobacter sp. ADP1 complete genome                 ,      7,      7,211,  552.8,  134.4
NZ_CP009448.1  , Achromobacter xylosoxidans C54                         ,      3,      3,598,  579.1,  201.6
NC_013171.1    , Anaerococcus prevotii DSM 20548                        ,      4,      3,245,  584.6,  256.0
NZ_CP012590.1  , Actinomyces sp. oral taxon 414 strain F0588            ,      3,      3,363,  591.5,  196.8
NZ_CP014060.1  , Achromobacter xylosoxidans strain FDAARGOS_147         ,      3,      0,741,  614.1,  266.0
NZ_CP007502.1  , Aggregatibacter actinomycetemcomitans HK1651           ,      6,      6,113,  569.8,  173.6
NZ_LT635457.1  , Actinomyces sp. Marseille-P2985                        ,      3,      3,71,  570.0,  153.4
NZ_CP012046.1  , Achromobacter xylosoxidans strain MN001                ,      3,      3,560,  599.9,  222.9
NZ_LN831029.1  , Achromobacter xylosoxidans genome assembly NCTC10807   ,      3,      3,653,  582.5,  206.0
NZ_CP015594.1  , Acinetobacter sp. NCu2D-2                              ,      7,      7,125,  544.1,  117.1
NC_012913.1    , Aggregatibacter aphrophilus NJ8700                     ,      6,      6,157,  551.2,  147.7
NZ_CP020468.1  , Actinomyces sp. pika_114                               ,      3,      3,103,  664.1,  596.9
NZ_CP014232.1  , Actinomyces oris strain T14V                           ,      3,      3,200,  606.1,  227.7
NZ_CP015110.1  , Acinetobacter sp. TGL-Y2                               ,      7,      7,234,  561.9,  173.1
NZ_CP012608.1  , Acinetobacter sp. TTH0-4                               ,      7,      7,204,  575.3,  169.6
NZ_CP017812.1  , Actinomyces sp. VUL4_3                                 ,      3,      3,125,  662.4,  326.1
NZ_CP012067.1  , Aggregatibacter aphrophilus strain W10433              ,      6,      6,162,  551.3,  119.0
NZ_CP012072.1  , Actinomyces meyeri strain W712                         ,      3,      3,197,  631.5,  313.8
NC_000964.3    , Bacillus subtilis subsp. subtilis str. 168 chromosome  ,     10,     10,278,  558.2,  154.3
NZ_CP016852.1  , Bacillus subtilis subsp. subtilis strain 168G          ,     10,     10,278,  558.9,  154.3
NZ_CP009902.1  , Bacillus anthracis strain 2002013094                   ,     11,     10,1352,  656.2,  269.3
